,Name,Longitude,Latitude,Sector,State,Highest degree offered,Total_enrollment,Fulltime_enrollment,Parttime_enrollment
1,Alabama A & M University,-86.568502,34.783368,"Public, 4-year or above",Alabama,Doctor's degree - research/scholarship,5020,4439,581
2,University of Alabama at Birmingham,-86.80917,33.50223,"Public, 4-year or above",Alabama,Doctor's degree - research/scholarship and professional practice,18568,11961,6607
3,Amridge University,-86.17401,32.362609,"Private not-for-profit, 4-year or above",Alabama,Doctor's degree - research/scholarship and professional practice,631,323,308
4,University of Alabama in Huntsville,-86.63842,34.722818,"Public, 4-year or above",Alabama,Doctor's degree - research/scholarship and professional practice,7376,4802,2574
5,Alabama State University,-86.295677,32.364317,"Public, 4-year or above",Alabama,Doctor's degree - research/scholarship and professional practice,6075,5182,893
6,The University of Alabama,-87.545766,33.2144,"Public, 4-year or above",Alabama,Doctor's degree - research/scholarship and professional practice,34752,29498,5254
7,Athens State University,-86.96514,34.805625,"Public, 4-year or above",Alabama,Bachelor's degree,3170,1350,1820
8,Auburn University at Montgomery,-86.177351,32.369939,"Public, 4-year or above",Alabama,Doctor's degree - research/scholarship,5084,3223,1861
9,Auburn University,-85.492409,32.600201,"Public, 4-year or above",Alabama,Doctor's degree - research/scholarship and professional practice,24864,21093,3771
10,Birmingham Southern College,-86.853636,33.515453,"Private not-for-profit, 4-year or above",Alabama,Bachelor's degree,1188,1167,21
11,Concordia College Alabama,-87.023531,32.42443,"Private not-for-profit, 4-year or above",Alabama,Bachelor's degree,600,543,57
12,Faulkner University,-86.21641,32.384181,"Private not-for-profit, 4-year or above",Alabama,Doctor's degree -  professional practice,3193,2321,872
13,Huntingdon College,-86.285313,32.350939,"Private not-for-profit, 4-year or above",Alabama,Bachelor's degree,1110,902,208
14,Jacksonville State University,-85.766644,33.822128,"Public, 4-year or above",Alabama,Doctor's degree - research/scholarship,8693,5982,2711
15,Judson College,-87.316127,32.630526,"Private not-for-profit, 4-year or above",Alabama,Bachelor's degree,347,262,85
16,University of West Alabama,-88.186077,32.59244,"Public, 4-year or above",Alabama,Master's degree,4427,3890,537
17,Miles College,-86.908605,33.481306,"Private not-for-profit, 4-year or above",Alabama,Bachelor's degree,1666,1577,89
18,University of Mobile,-88.128934,30.793247,"Private not-for-profit, 4-year or above",Alabama,Master's degree,1610,1288,322
19,University of Montevallo,-86.865099,33.10625,"Public, 4-year or above",Alabama,Master's degree,3062,2526,536
20,University of North Alabama,-87.680999,34.80658,"Public, 4-year or above",Alabama,Master's degree,6931,5133,1798
21,Oakwood University,-86.661628,34.756628,"Private not-for-profit, 4-year or above",Alabama,Master's degree,1903,1810,93
22,Samford University,-86.790932,33.464578,"Private not-for-profit, 4-year or above",Alabama,Doctor's degree - research/scholarship and professional practice,4833,4361,472
23,University of South Alabama,-88.18189,30.695081,"Public, 4-year or above",Alabama,Doctor's degree - research/scholarship and professional practice,15065,12028,3037
24,Spring Hill College,-88.138199,30.694751,"Private not-for-profit, 4-year or above",Alabama,Master's degree,1422,1210,212
25,Stillman College,-87.585242,33.199228,"Private not-for-profit, 4-year or above",Alabama,Bachelor's degree,863,808,55
26,Talladega College,-86.113675,33.434258,"Private not-for-profit, 4-year or above",Alabama,Bachelor's degree,932,849,83
27,Troy University,-85.950191,31.800128,"Public, 4-year or above",Alabama,Doctor's degree -  professional practice,20573,10334,10239
28,Tuskegee University,-85.710315,32.431021,"Private not-for-profit, 4-year or above",Alabama,Doctor's degree - research/scholarship and professional practice,3118,2954,164
29,University of Alaska Anchorage,-149.826135,61.189554,"Public, 4-year or above",Alaska,Doctor's degree - research/scholarship,17363,7904,9459
30,University of Alaska Fairbanks,-147.824751,64.857053,"Public, 4-year or above",Alaska,Doctor's degree - research/scholarship,9166,4283,4883
31,University of Alaska Southeast,-134.636346,58.38427,"Public, 4-year or above",Alaska,Master's degree,2996,889,2107
32,Alaska Pacific University,-149.804242,61.191235,"Private not-for-profit, 4-year or above",Alaska,Doctor's degree -  professional practice,669,323,346
33,American Indian College of the Assemblies of God Inc,-112.092247,33.577738,"Private not-for-profit, 4-year or above",Arizona,Bachelor's degree,79,68,11
34,Arizona State University-Tempe,-111.940011,33.421922,"Public, 4-year or above",Arizona,Doctor's degree - research/scholarship and professional practice,48702,42498,6204
35,University of Arizona,-110.950769,32.232071,"Public, 4-year or above",Arizona,Doctor's degree - research/scholarship and professional practice,40621,35388,5233
36,Embry-Riddle Aeronautical University-Prescott,-112.452285,34.615678,"Private not-for-profit, 4-year or above",Arizona,Master's degree,1921,1786,135
37,Northern Arizona University,-111.657653,35.180095,"Public, 4-year or above",Arizona,Doctor's degree - research/scholarship and professional practice,26594,20533,6061
38,Ottawa University-Phoenix,-112.113447,33.577907,"Private not-for-profit, 4-year or above",Arizona,Master's degree,653,6,647
39,Prescott College,-112.476509,34.5445,"Private not-for-profit, 4-year or above",Arizona,Doctor's degree - research/scholarship,943,572,371
40,Arizona Christian University,-112.026211,33.595117,"Private not-for-profit, 4-year or above",Arizona,Bachelor's degree,635,454,181
41,University of Arkansas at Little Rock,-92.341835,34.726644,"Public, 4-year or above",Arkansas,Doctor's degree - research/scholarship and professional practice,12377,6632,5745
42,Arkansas Baptist College,-92.290555,34.734751,"Private not-for-profit, 4-year or above",Arkansas,Bachelor's degree,1027,867,160
43,Lyon College,-91.628115,35.778934,"Private not-for-profit, 4-year or above",Arkansas,Bachelor's degree,592,562,30
44,University of Arkansas,-94.178214,36.06153,"Public, 4-year or above",Arkansas,Doctor's degree - research/scholarship and professional practice,25341,20379,4962
45,University of Arkansas at Pine Bluff,-92.021263,34.242192,"Public, 4-year or above",Arkansas,Doctor's degree - research/scholarship,2615,2328,287
46,Arkansas State University-Main Campus,-90.680478,35.842779,"Public, 4-year or above",Arkansas,Doctor's degree - research/scholarship and professional practice,13552,8384,5168
47,Arkansas Tech University,-93.13233,35.295227,"Public, 4-year or above",Arkansas,Master's degree,11369,7283,4086
48,University of Arkansas at Monticello,-91.812971,33.589788,"Public, 4-year or above",Arkansas,Master's degree,3893,2546,1347
49,University of Central Arkansas,-92.45931,35.078196,"Public, 4-year or above",Arkansas,Doctor's degree - research/scholarship and professional practice,11534,9045,2489
50,Central Baptist College,-92.444102,35.084574,"Private not-for-profit, 4-year or above",Arkansas,Bachelor's degree,827,650,177
51,Harding University,-91.729008,35.249605,"Private not-for-profit, 4-year or above",Arkansas,Doctor's degree - research/scholarship and professional practice,6238,4820,1418
52,Henderson State University,-93.060313,34.127792,"Public, 4-year or above",Arkansas,Master's degree,3583,2953,630
53,Hendrix College,-92.442021,35.09972,"Private not-for-profit, 4-year or above",Arkansas,Master's degree,1444,1434,10
54,John Brown University,-94.559088,36.191077,"Private not-for-profit, 4-year or above",Arkansas,Master's degree,2596,1698,898
55,Ouachita Baptist University,-93.052442,34.125045,"Private not-for-profit, 4-year or above",Arkansas,Bachelor's degree,1543,1507,36
56,University of the Ozarks,-93.467924,35.477785,"Private not-for-profit, 4-year or above",Arkansas,Bachelor's degree,585,571,14
57,Philander Smith College,-92.28242,34.73666,"Private not-for-profit, 4-year or above",Arkansas,Bachelor's degree,556,523,33
58,Williams Baptist College,-90.939876,36.126825,"Private not-for-profit, 4-year or above",Arkansas,Bachelor's degree,574,486,88
59,Southern Arkansas University Main Campus,-93.235087,33.291195,"Public, 4-year or above",Arkansas,Master's degree,3404,2561,843
60,University of Arkansas-Fort Smith,-94.374073,35.385345,"Public, 4-year or above",Arkansas,Bachelor's degree,7170,5116,2054
61,Azusa Pacific University,-117.88795,34.130865,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship and professional practice,10755,7783,2972
62,Biola University,-118.017342,33.904823,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship,6301,5107,1194
63,California Institute of Integral Studies,-122.416537,37.774768,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship and professional practice,1271,988,283
64,California Baptist University,-117.42587,33.928569,"Private not-for-profit, 4-year or above",California,Master's degree,7144,5864,1280
65,California Institute of Technology,-118.12574,34.139275,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship,2181,2181,0
66,California Lutheran University,-118.879467,34.225551,"Private not-for-profit, 4-year or above",California,Doctor's degree -  professional practice,4282,3740,542
67,California Polytechnic State University-San Luis Obispo,-120.65856,35.29889,"Public, 4-year or above",California,Master's degree,19703,18775,928
68,Alliant International University,-117.094398,32.897056,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship and professional practice,4201,2038,2163
69,California State University-Bakersfield,-119.104711,35.350005,"Public, 4-year or above",California,Master's degree,8371,7190,1181
70,California State University-Stanislaus,-120.852511,37.52577,"Public, 4-year or above",California,Doctor's degree - other,8917,7256,1661
71,California State University-San Bernardino,-117.322508,34.182987,"Public, 4-year or above",California,Doctor's degree - research/scholarship,18398,15213,3185
72,California State Polytechnic University-Pomona,-117.819019,34.054273,"Public, 4-year or above",California,Doctor's degree - research/scholarship,22501,18995,3506
73,California State University-Chico,-121.846333,39.728003,"Public, 4-year or above",California,Master's degree,16356,14960,1396
74,California State University-Dominguez Hills,-118.259316,33.86524,"Public, 4-year or above",California,Master's degree,14670,9599,5071
75,California State University-Fresno,-119.748258,36.814477,"Public, 4-year or above",California,Doctor's degree - research/scholarship,23060,19511,3549
76,California State University-Fullerton,-117.885349,33.883627,"Public, 4-year or above",California,Doctor's degree - other,38325,29023,9302
77,California State University-East Bay,-122.058073,37.65707,"Public, 4-year or above",California,Doctor's degree -  professional practice,14526,11733,2793
78,California State University-Long Beach,-118.1123,33.782752,"Public, 4-year or above",California,Doctor's degree - other,35586,28440,7146
79,California State University-Los Angeles,-118.168965,34.066927,"Public, 4-year or above",California,Doctor's degree - research/scholarship,23258,18104,5154
80,California State University-Northridge,-118.526817,34.23671,"Public, 4-year or above",California,Doctor's degree - research/scholarship,38310,30423,7887
81,California State University-Sacramento,-121.42194,38.55745,"Public, 4-year or above",California,Doctor's degree - other,28811,22735,6076
82,University of California-Berkeley,-122.260401,37.871519,"Public, 4-year or above",California,Doctor's degree - research/scholarship and professional practice,36198,34675,1523
83,University of California-Davis,-121.751958,38.539895,"Public, 4-year or above",California,Doctor's degree - research/scholarship and professional practice,33307,31986,1321
84,University of California-Irvine,-117.841248,33.648434,"Public, 4-year or above",California,Doctor's degree - research/scholarship and professional practice,28895,28046,849
85,University of California-Los Angeles,-118.443901,34.068892,"Public, 4-year or above",California,Doctor's degree - research/scholarship and professional practice,40795,39794,1001
86,University of California-Riverside,-117.331098,33.97588,"Public, 4-year or above",California,Doctor's degree - research/scholarship,21207,20653,554
87,University of California-San Diego,-117.237793,32.876598,"Public, 4-year or above",California,Doctor's degree - research/scholarship and professional practice,29517,28606,911
88,University of California-Santa Barbara,-119.848031,34.415402,"Public, 4-year or above",California,Doctor's degree - research/scholarship,22225,21771,454
89,University of California-Santa Cruz,-122.067993,36.997258,"Public, 4-year or above",California,Doctor's degree - research/scholarship,17203,16755,448
90,California Maritime Academy,-122.231551,38.069061,"Public, 4-year or above",California,Bachelor's degree,1045,1008,37
91,Chapman University,-117.851481,33.793678,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship and professional practice,7892,7071,821
92,Concordia University-Irvine,-117.81063,33.6535,"Private not-for-profit, 4-year or above",California,Master's degree,4046,3345,701
93,San Diego Christian College,-116.903073,32.799999,"Private not-for-profit, 4-year or above",California,Bachelor's degree,914,817,97
94,Claremont Graduate University,-117.712394,34.103778,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship,2204,1532,672
95,Claremont McKenna College,-117.706593,34.102323,"Private not-for-profit, 4-year or above",California,Master's degree,1328,1324,4
96,Coleman University,-117.136493,32.821962,"Private not-for-profit, 4-year or above",California,Master's degree,833,734,99
97,Dominican University of California,-122.514654,37.980014,"Private not-for-profit, 4-year or above",California,Master's degree,2147,1603,544
98,Fielding Graduate University,-119.717151,34.4294,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship,1190,963,227
99,Fresno Pacific University,-119.731953,36.725279,"Private not-for-profit, 4-year or above",California,Master's degree,3393,2423,970
100,Golden Gate University-San Francisco,-122.398785,37.789208,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship and professional practice,3227,1130,2097
101,Harvey Mudd College,-117.710594,34.106137,"Private not-for-profit, 4-year or above",California,Bachelor's degree,807,805,2
102,Holy Names University,-122.18717,37.802654,"Private not-for-profit, 4-year or above",California,Master's degree,1343,827,516
103,Humboldt State University,-124.0814,40.8741,"Public, 4-year or above",California,Master's degree,8293,7631,662
104,Humphreys College-Stockton and Modesto Campuses,-121.316401,38.011051,"Private not-for-profit, 4-year or above",California,Doctor's degree -  professional practice,990,517,473
105,John F Kennedy University,-122.183972,37.881794,"Private not-for-profit, 4-year or above",California,Doctor's degree -  professional practice,1356,580,776
106,American Jewish University,-118.471764,34.128099,"Private not-for-profit, 4-year or above",California,Master's degree,229,188,41
107,University of La Verne,-117.772634,34.10086,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship and professional practice,8796,5550,3246
108,Lincoln University,-122.269745,37.804788,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship,492,436,56
109,La Sierra University,-117.497071,33.908834,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship,2440,2112,328
110,The Master's College and Seminary,-118.517422,34.38214,"Private not-for-profit, 4-year or above",California,Doctor's degree -  professional practice,1499,1105,394
111,Loyola Marymount University,-118.415655,33.970633,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship and professional practice,9661,8710,951
112,Menlo College,-122.181444,37.452906,"Private not-for-profit, 4-year or above",California,Bachelor's degree,745,712,33
113,Mills College,-122.18789,37.782639,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship,1595,1424,171
114,Monterey Institute of International Studies,-121.896813,36.599827,"Private not-for-profit, 4-year or above",California,Master's degree,731,651,80
115,Mount St Mary's College,-118.480471,34.082112,"Private not-for-profit, 4-year or above",California,Doctor's degree -  professional practice,3274,2508,766
116,National University,-117.244243,32.909469,"Private not-for-profit, 4-year or above",California,Doctor's degree -  professional practice,18207,8877,9330
117,Notre Dame de Namur University,-122.284618,37.517501,"Private not-for-profit, 4-year or above",California,Master's degree,2030,1071,959
118,Occidental College,-118.210783,34.126224,"Private not-for-profit, 4-year or above",California,Master's degree,2128,2113,15
119,Hope International University,-117.88573,33.87616,"Private not-for-profit, 4-year or above",California,Master's degree,1356,935,421
120,Pacific Union College,-122.449639,38.57409,"Private not-for-profit, 4-year or above",California,Master's degree,1647,1456,191
121,University of the Pacific,-121.307296,37.980624,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship and professional practice,6421,5749,672
122,Pepperdine University,-118.707677,34.041912,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship and professional practice,7315,5414,1901
123,Pitzer College,-117.705939,34.103408,"Private not-for-profit, 4-year or above",California,Bachelor's degree,1081,1044,37
124,Point Loma Nazarene University,-117.251204,32.713295,"Private not-for-profit, 4-year or above",California,Master's degree,3359,2669,690
125,Pomona College,-117.711944,34.098298,"Private not-for-profit, 4-year or above",California,Bachelor's degree,1610,1596,14
126,University of Redlands,-117.163847,34.063571,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship,5147,3907,1240
127,San Diego State University,-117.071228,32.77525,"Public, 4-year or above",California,Doctor's degree - other,31899,26859,5040
128,University of San Diego,-117.188721,32.77142,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship and professional practice,8321,7066,1255
129,San Francisco State University,-122.477905,37.721345,"Public, 4-year or above",California,Doctor's degree - research/scholarship and professional practice,29905,24422,5483
130,University of San Francisco,-122.450977,37.775564,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship and professional practice,10112,9255,857
131,San Jose State University,-121.881214,37.335201,"Public, 4-year or above",California,Master's degree,31278,24196,7082
132,Santa Clara University,-121.938189,37.352706,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship and professional practice,8770,7225,1545
133,Scripps College,-117.711336,34.103655,"Private not-for-profit, 4-year or above",California,Bachelor's degree,1009,996,13
134,Simpson University,-122.333048,40.61331,"Private not-for-profit, 4-year or above",California,Master's degree,1255,1088,167
135,Saint Mary's College of California,-122.106795,37.83997,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship,4257,3490,767
136,Sonoma State University,-122.673261,38.341023,"Public, 4-year or above",California,Master's degree,9120,8052,1068
137,Vanguard University of Southern California,-117.900911,33.662686,"Private not-for-profit, 4-year or above",California,Master's degree,2415,1678,737
138,University of Southern California,-118.283858,34.021058,"Private not-for-profit, 4-year or above",California,Doctor's degree - research/scholarship and professional practice,41368,35895,5473
139,Thomas Aquinas College,-119.087141,34.429009,"Private not-for-profit, 4-year or above",California,Bachelor's degree,366,366,0
140,Westmont College,-119.661932,34.449265,"Private not-for-profit, 4-year or above",California,Bachelor's degree,1321,1311,10
141,Whittier College,-118.028402,33.977625,"Private not-for-profit, 4-year or above",California,Doctor's degree -  professional practice,2339,2065,274
142,Woodbury University,-118.340692,34.209226,"Private not-for-profit, 4-year or above",California,Master's degree,1607,1393,214
143,Adams State University,-105.880943,37.477238,"Public, 4-year or above",Colorado,Master's degree,3211,2185,1026
144,University of Colorado Denver,-104.999181,39.74603,"Public, 4-year or above",Colorado,Doctor's degree - research/scholarship and professional practice,22206,11800,10406
145,University of Colorado Colorado Springs,-104.800296,38.892735,"Public, 4-year or above",Colorado,Doctor's degree - research/scholarship and professional practice,11321,7450,3871
146,University of Colorado Boulder,-105.267061,40.004415,"Public, 4-year or above",Colorado,Doctor's degree - research/scholarship and professional practice,32017,26242,5775
147,Colorado Christian University,-105.094836,39.711701,"Private not-for-profit, 4-year or above",Colorado,Master's degree,5368,1583,3785
148,Colorado College,-104.82422,38.84657,"Private not-for-profit, 4-year or above",Colorado,Master's degree,2061,2044,17
149,Colorado School of Mines,-105.227148,39.75079,"Public, 4-year or above",Colorado,Doctor's degree - research/scholarship,5790,5188,602
150,Colorado State University-Fort Collins,-105.08083,40.574759,"Public, 4-year or above",Colorado,Doctor's degree - research/scholarship and professional practice,31186,23371,7815
151,College America-Denver,-104.94118,39.691571,"Private not-for-profit, 4-year or above",Colorado,Bachelor's degree,497,497,0
152,University of Denver,-104.964625,39.695954,"Private not-for-profit, 4-year or above",Colorado,Doctor's degree - research/scholarship and professional practice,11778,8411,3367
153,Fort Lewis College,-107.867003,37.275428,"Public, 4-year or above",Colorado,Master's degree,4021,3670,351
154,Colorado Mesa University,-108.540281,39.076354,"Public, 4-year or above",Colorado,Doctor's degree -  professional practice,9676,7284,2392
155,Metropolitan State University of Denver,-105.002391,39.742248,"Public, 4-year or above",Colorado,Master's degree,22752,13508,9244
156,Naropa University,-105.267073,40.014816,"Private not-for-profit, 4-year or above",Colorado,Master's degree,992,799,193
157,University of Northern Colorado,-104.701721,40.403178,"Public, 4-year or above",Colorado,Doctor's degree - research/scholarship,12710,9735,2975
158,Regis University,-105.031385,39.78976,"Private not-for-profit, 4-year or above",Colorado,Doctor's degree -  professional practice,9722,5251,4471
159,Colorado State University-Pueblo,-104.579846,38.309219,"Public, 4-year or above",Colorado,Master's degree,7089,4051,3038
160,Western State Colorado University,-106.91971,38.547421,"Public, 4-year or above",Colorado,Master's degree,2404,1993,411
161,Albertus Magnus College,-72.923848,41.332519,"Private not-for-profit, 4-year or above",Connecticut,Master's degree,1582,1469,113
162,University of Bridgeport,-73.189352,41.165587,"Private not-for-profit, 4-year or above",Connecticut,Doctor's degree - research/scholarship and professional practice,4842,3159,1683
163,Central Connecticut State University,-72.770094,41.690258,"Public, 4-year or above",Connecticut,Doctor's degree - research/scholarship,11865,8208,3657
164,Charter Oak State College,-72.767972,41.688246,"Public, 4-year or above",Connecticut,Bachelor's degree,1580,301,1279
165,Connecticut College,-72.107321,41.379833,"Private not-for-profit, 4-year or above",Connecticut,Master's degree,1922,1881,41
166,University of Connecticut,-72.249519,41.808205,"Public, 4-year or above",Connecticut,Doctor's degree - research/scholarship and professional practice,25911,22482,3429
167,Eastern Connecticut State University,-72.218753,41.721673,"Public, 4-year or above",Connecticut,Master's degree,5368,4462,906
168,Fairfield University,-73.25778,41.160732,"Private not-for-profit, 4-year or above",Connecticut,Doctor's degree -  professional practice,4919,3930,989
169,Rensselaer Hartford Graduate Center Inc,-72.673916,41.773462,"Private not-for-profit, 4-year or above",Connecticut,Master's degree,281,11,270
170,University of Hartford,-72.714965,41.796485,"Private not-for-profit, 4-year or above",Connecticut,Doctor's degree - research/scholarship and professional practice,6820,5213,1607
171,Mitchell College,-72.095337,41.328075,"Private not-for-profit, 4-year or above",Connecticut,Bachelor's degree,866,747,119
172,University of New Haven,-72.961472,41.291314,"Private not-for-profit, 4-year or above",Connecticut,Doctor's degree - research/scholarship,6555,5342,1213
173,Quinnipiac University,-72.895542,41.419527,"Private not-for-profit, 4-year or above",Connecticut,Doctor's degree -  professional practice,8803,7602,1201
174,Sacred Heart University,-73.24461,41.221548,"Private not-for-profit, 4-year or above",Connecticut,Doctor's degree -  professional practice,6983,4542,2441
175,University of Saint Joseph,-72.730489,41.783028,"Private not-for-profit, 4-year or above",Connecticut,Doctor's degree -  professional practice,2640,1220,1420
176,Southern Connecticut State University,-72.948806,41.331852,"Public, 4-year or above",Connecticut,Doctor's degree - research/scholarship,10804,7892,2912
177,Trinity College,-72.688684,41.746746,"Private not-for-profit, 4-year or above",Connecticut,Master's degree,2390,2188,202
178,Wesleyan University,-72.656755,41.55678,"Private not-for-profit, 4-year or above",Connecticut,Doctor's degree - research/scholarship,3205,3091,114
179,Western Connecticut State University,-73.444264,41.400365,"Public, 4-year or above",Connecticut,Doctor's degree -  professional practice,6025,4465,1560
180,Yale University,-72.926688,41.311158,"Private not-for-profit, 4-year or above",Connecticut,Doctor's degree - research/scholarship and professional practice,12109,11927,182
181,Delaware State University,-75.54053,39.187173,"Public, 4-year or above",Delaware,Doctor's degree - research/scholarship,4336,3926,410
182,University of Delaware,-75.7536,39.679791,"Public, 4-year or above",Delaware,Doctor's degree - research/scholarship and professional practice,22166,19685,2481
183,Wesley College,-75.527377,39.16325,"Private not-for-profit, 4-year or above",Delaware,Master's degree,1655,1463,192
184,Wilmington University,-75.586998,39.682299,"Private not-for-profit, 4-year or above",Delaware,Doctor's degree - research/scholarship,13621,4698,8923
185,American University,-77.090106,38.937802,"Private not-for-profit, 4-year or above",District of Columbia,Doctor's degree - research/scholarship and professional practice,12818,10233,2585
186,Catholic University of America,-76.998961,38.935796,"Private not-for-profit, 4-year or above",District of Columbia,Doctor's degree - research/scholarship and professional practice,6725,4756,1969
187,University of the District of Columbia,-77.066247,38.943819,"Public, 4-year or above",District of Columbia,Master's degree,5011,2199,2812
188,Gallaudet University,-76.993675,38.907371,"Private not-for-profit, 4-year or above",District of Columbia,Doctor's degree - research/scholarship,1561,1367,194
189,George Washington University,-77.047871,38.89865,"Private not-for-profit, 4-year or above",District of Columbia,Doctor's degree - research/scholarship and professional practice,25264,17109,8155
190,Georgetown University,-77.073463,38.908809,"Private not-for-profit, 4-year or above",District of Columbia,Doctor's degree - research/scholarship and professional practice,17849,14407,3442
191,Howard University,-77.019478,38.920739,"Private not-for-profit, 4-year or above",District of Columbia,Doctor's degree - research/scholarship and professional practice,10297,9123,1174
192,Trinity Washington University,-77.004261,38.927398,"Private not-for-profit, 4-year or above",District of Columbia,Master's degree,2506,1301,1205
193,Barry University,-80.196136,25.878865,"Private not-for-profit, 4-year or above",Florida,Doctor's degree - research/scholarship and professional practice,9030,5887,3143
194,Bethune-Cookman University,-81.031429,29.210193,"Private not-for-profit, 4-year or above",Florida,Master's degree,3787,3671,116
195,Lynn University,-80.123851,26.382777,"Private not-for-profit, 4-year or above",Florida,Doctor's degree - research/scholarship,2297,1945,352
196,Carlos Albizu University-Miami,-80.355002,25.795162,"Private not-for-profit, 4-year or above",Florida,Doctor's degree - research/scholarship,991,591,400
197,University of Central Florida,-81.198805,28.60106,"Public, 4-year or above",Florida,Doctor's degree - research/scholarship and professional practice,59589,39966,19623
198,Clearwater Christian College,-82.697305,27.963556,"Private not-for-profit, 4-year or above",Florida,Master's degree,505,479,26
199,Eckerd College,-82.685992,27.718996,"Private not-for-profit, 4-year or above",Florida,Bachelor's degree,2173,1947,226
200,Edward Waters College,-81.684817,30.34513,"Private not-for-profit, 4-year or above",Florida,Bachelor's degree,862,845,17
201,Embry-Riddle Aeronautical University-Daytona Beach,-81.0495,29.189244,"Private not-for-profit, 4-year or above",Florida,Doctor's degree - research/scholarship,5279,4831,448
202,Florida Agricultural and Mechanical University,-84.285664,30.428599,"Public, 4-year or above",Florida,Doctor's degree - research/scholarship and professional practice,10743,9597,1146
203,Florida Atlantic University,-80.102293,26.372536,"Public, 4-year or above",Florida,Doctor's degree - research/scholarship and professional practice,30759,17779,12980
204,Flagler College-St Augustine,-81.315256,29.89335,"Private not-for-profit, 4-year or above",Florida,Bachelor's degree,2839,2746,93
205,Florida College,-82.383446,28.034911,"Private not-for-profit, 4-year or above",Florida,Bachelor's degree,558,533,25
206,Florida Institute of Technology,-80.624628,28.064503,"Private not-for-profit, 4-year or above",Florida,Doctor's degree - research/scholarship and professional practice,5644,4138,1506
207,Florida International University,-80.377591,25.757111,"Public, 4-year or above",Florida,Doctor's degree - research/scholarship and professional practice,47663,31932,15731
208,Florida Memorial University,-80.270672,25.917854,"Private not-for-profit, 4-year or above",Florida,Master's degree,1560,1430,130
209,Florida Southern College,-81.945791,28.031507,"Private not-for-profit, 4-year or above",Florida,Master's degree,2619,2283,336
210,Florida State University,-84.294801,30.4421,"Public, 4-year or above",Florida,Doctor's degree - research/scholarship and professional practice,40909,34882,6027
211,University of Florida,-82.361195,29.638248,"Public, 4-year or above",Florida,Doctor's degree - research/scholarship and professional practice,49878,42490,7388
212,Jacksonville University,-81.60706,30.350349,"Private not-for-profit, 4-year or above",Florida,Doctor's degree -  professional practice,4157,2388,1769
213,Jones College-Jacksonville,-81.610068,30.328002,"Private not-for-profit, 4-year or above",Florida,Bachelor's degree,449,64,385
214,Keiser University-Ft Lauderdale,-80.163959,26.185869,"Private not-for-profit, 4-year or above",Florida,Doctor's degree - research/scholarship,17129,12264,4865
215,Trinity International University-Florida,-80.257156,26.099656,"Private not-for-profit, 4-year or above",Florida,Master's degree,347,113,234
216,University of Miami,-80.27645,25.720406,"Private not-for-profit, 4-year or above",Florida,Doctor's degree - research/scholarship and professional practice,16935,15597,1338
217,Remington College-Tampa Campus,-82.385976,27.983466,"Private not-for-profit, 4-year or above",Florida,Bachelor's degree,189,189,0
218,University of North Florida,-81.507853,30.270917,"Public, 4-year or above",Florida,Doctor's degree - research/scholarship and professional practice,16083,10829,5254
219,Nova Southeastern University,-80.24248,26.079337,"Private not-for-profit, 4-year or above",Florida,Doctor's degree - research/scholarship and professional practice,25670,13390,12280
220,Palm Beach Atlantic University,-80.049758,26.704629,"Private not-for-profit, 4-year or above",Florida,Doctor's degree -  professional practice,3764,2989,775
221,Rollins College,-81.348716,28.591992,"Private not-for-profit, 4-year or above",Florida,Doctor's degree - research/scholarship,3153,2589,564
222,Saint Leo University,-82.257287,28.336776,"Private not-for-profit, 4-year or above",Florida,Doctor's degree - research/scholarship,16275,12228,4047
223,St Petersburg College,-82.717331,27.90242,"Public, 4-year or above",Florida,Bachelor's degree,31820,9118,22702
224,University of South Florida-Main Campus,-82.415876,28.056647,"Public, 4-year or above",Florida,Doctor's degree - research/scholarship and professional practice,41428,29437,11991
225,St Thomas University,-80.256265,25.920915,"Private not-for-profit, 4-year or above",Florida,Doctor's degree - research/scholarship and professional practice,2315,1817,498
