,Name,Longitude,Latitude,Sector,State,Highest degree offered,Total_enrollment,Fulltime_enrollment,Parttime_enrollment
1059,Willamette University,-123.030727,44.935743,"Private not-for-profit, 4-year or above",Oregon,Doctor's degree -  professional practice,2855,2660,195
1060,Western Oregon University,-123.238785,44.851866,"Public, 4-year or above",Oregon,Master's degree,6177,4720,1457
1061,Bryn Athyn College of the New Church,-75.06093,40.131358,"Private not-for-profit, 4-year or above",Pennsylvania,Master's degree,278,265,13
1062,Albright College,-75.910152,40.360248,"Private not-for-profit, 4-year or above",Pennsylvania,Master's degree,2384,2315,69
1063,Allegheny College,-80.146922,41.648068,"Private not-for-profit, 4-year or above",Pennsylvania,Bachelor's degree,2161,2125,36
1064,DeSales University,-75.376549,40.540137,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree -  professional practice,3266,2063,1203
1065,Alvernia University,-75.938163,40.3102,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship,2871,1824,1047
1066,Arcadia University,-75.165205,40.091941,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship and professional practice,3905,2844,1061
1067,Bloomsburg University of Pennsylvania,-76.446383,41.007989,"Public, 4-year or above",Pennsylvania,Doctor's degree -  professional practice,10127,9155,972
1068,Bryn Mawr College,-75.314988,40.028541,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship,1738,1663,75
1069,Bucknell University,-76.886275,40.954489,"Private not-for-profit, 4-year or above",Pennsylvania,Master's degree,3608,3555,53
1070,Cabrini College,-75.37215,40.054565,"Private not-for-profit, 4-year or above",Pennsylvania,Master's degree,2448,1303,1145
1071,California University of Pennsylvania,-79.884477,40.066473,"Public, 4-year or above",Pennsylvania,Master's degree,8243,6527,1716
1072,Carlow University,-79.963927,40.439851,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree -  professional practice,3012,1732,1280
1073,Carnegie Mellon University,-79.942914,40.444616,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship,12367,11279,1088
1074,Cedar Crest College,-75.519799,40.586695,"Private not-for-profit, 4-year or above",Pennsylvania,Master's degree,1486,681,805
1075,Chatham University,-79.926083,40.448432,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree -  professional practice,2170,1488,682
1076,Chestnut Hill College,-75.228847,40.087048,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree -  professional practice,2189,1442,747
1077,Cheyney University of Pennsylvania,-75.529378,39.932293,"Public, 4-year or above",Pennsylvania,Master's degree,1212,1123,89
1078,Clarion University of Pennsylvania,-79.374775,41.209676,"Public, 4-year or above",Pennsylvania,Master's degree,6080,4580,1500
1079,Delaware Valley College,-75.158202,40.29757,"Private not-for-profit, 4-year or above",Pennsylvania,Master's degree,2023,1681,342
1080,Dickinson College,-77.197854,40.202796,"Private not-for-profit, 4-year or above",Pennsylvania,Bachelor's degree,2396,2356,40
1081,Drexel University,-75.188745,39.954855,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship and professional practice,26132,18909,7223
1082,Duquesne University,-79.993046,40.437496,"Private not-for-profit, 4-year or above",Pennsylvania,Doctor's degree - research/scholarship and professional practice,9904,9008,896
